MD5,SHA256,SIZE,,,,,,,
04029e121a0cfa5991749937dd22a1d9,9f914d42706fe215501044acd85a32d58aaef1419d404fddfa5d3b48f66ccd9f,452608,,,,,,,
097ce5761c89434367598b34fe32893b,ba4038fd20e474c047be8aad5bfacdb1bfc1ddbe12f803f473b7918d8d819436,446976,,,,,,,
2070e439a52c26ede44ed1b95e38e9a5,ae10fff5f43d712a0c00f8c6b182502cf854b149f0e59c010a7f34a2f85edf20,461824,,,,,,,
2d1d70c92a419d9079b047954c611886,c50057756cdb25d481cf2502abcef124f864c27618c5057468bfc6b82b2c4edd,491520,,,,,,,
2e5a8590cf6848968fc23de3fa1e25f1,9785001b0dcf755eddb8af294a373c0b87b2498660f724e76c4d53f9c217c7a3,,,,,,,,
3f92a35ba26ff7a11a49e15efe18f0c2,705a1bcdc5d55e296b8008276759bfeeab93ecdcdaae4960156d13fbf2286aae,457216,,,,,,,
603d5f98c4a533e2846f969523d59ac1,259b530b56b30db89fb6a7966fe9d87d26aa2333937bc439e666ea406c6af54c,463360,,,,,,,
61732dba77466b624c014b67a1e1348e,d4cc57797f43e2744e5f46cfb9e69df2944d4c809a5fa93928f453e59076f0cd,423424,,,,,,,
65d86c34814c02569e2ad53fd24e7f61,8133502266008b77de7921451e1210b0ef3f0ed2db7d8d3ee0c3350d856fa6fa,431616,,,,,,,
6726185b70b5adf05e8a1a1df82ebf30,64dd55e1c2373deed25c2776f553c632e58c45e56a0e4639dfd54ee97eab9c19,493568,,,,,,,
6b52731c45246987956829ded01331e0,2e3e40e8bf13d88396f22e7c6ae25b2725871e32237538414dff8485ecf19fa0,493568,,,,,,,
6bb54b2d7a3d63578559239a79700ea3,870eda04ea71cc066ec907f005e1d05ce592f04799c60e600e2cb986dc85b5eb,,,,,,,,
7353f60b1739074eb17c5f4dddefe239,de96a6e69944335375dc1ac238336066889d9ffc7d73628ef4fe1b1b160ab32c,448000,,,,,,,
9d8e30daf21108092d5980c931876b7e,3247bcfd60f6dd25f34cb74b5889ab10ef1b3ec72b4d4b3d95b5b25b534560b8,450560,,,,,,,
ab182b7c065b5a4191c54157346ee4f9,4291ec5dedd6909351091516c71501207ab4ab4f6c7038c4509cb3bc155d165c,455680,,,,,,,
bcf01e61144d6d6325650134823198b8,b4e7bc24bf3f5c3da2eb6e9ec5ec10f90099defa91b820f2f3fc70dd9e4785c4,492032,,,,,,,
bd44eee8137a4b27c2d9979ae225b230,29a73f89c5cb1adeecd199dcc59b9f54ff7bee73b56245c90300d0e94bdad4b5,,,,,,,,
c031e215b8b08c752bf362f6d4c5d3ad,840e1f9dc5a29bebf01626822d7390251e9cf05bb3560ba7b68bdb8a41cf08e3,478720,,,,,,,
c32ca4acfcc635ec1ea6ed8a34df5fac,73a3c4aef5de385875339fc2eb7e58a9e8a47b6161bdc6436bf78a763537be70,433152,,,,,,,
c47902cf6606a7f28f462ec7aae2250f,f2ee384a7db89e3788f3ab54a3ca570c2673e0034bdd4df91a0b7651e665b746,463360,,,,,,,
dfd66604ca0898e8e26df7b1635b6326,d23b67799a0da0143e395ba5db906a22ab08fac4bd5581e275b1e0f1b3fac55c,486400,,,,,,,
b3ad5364cf04b6ab05616dd483aaf618,7375adedb82fd62cefc6b6fd20a704a164e056022f3b8c2e1b94f3a9b8361478,443392,,,,,,,
ef8fa4f195c6239273c100ab370fcfdc,0bbf1952ee724d29f04d9ea52cae9c8c781791d57ed127ae7b618704c3395a79,460288,,,,,,,